Airport Name,Flight Date,Origin State,year
BALTIMORE WASH INTERNATIONAL,1990-10-15,Maryland,1990
ATLANTIC CITY INTERNATIONAL,1990-10-15,New Jersey,1990
ATLANTIC CITY INTERNATIONAL,1990-10-15,New Jersey,1990
PHILADELPHIA INTERNATIONAL,1990-10-17,Pennsylvania,1990
ATLANTA INTERNATIONAL,1990-10-18,Georgia,1990
BARKSDALE AIR FORCE BASE AIRPORT,1990-10-18,Louisiana,1990
MINNEAPOLIS-ST PAUL INTERNATIONAL,1990-10-18,Minnesota,1990
MINNEAPOLIS-ST PAUL INTERNATIONAL,1990-10-18,Minnesota,1990
CHARLOTTE/DOUGLAS INTERNATIONAL AIRPORT,1990-10-19,North Carolina,1990
LOS ANGELES INTERNATIONAL,1990-10-19,California,1990
HONOLULU INTERNATIONAL AIRPORT,1990-10-20,Hawaii,1990
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1990-10-21,Texas,1990
CHICAGO O'HARE INTERNATIONAL AIRPORT,1990-10-21,Illinois,1990
ATLANTA INTERNATIONAL,1990-10-22,Georgia,1990
CHARLOTTE/DOUGLAS INTERNATIONAL AIRPORT,1990-10-22,North Carolina,1990
ATLANTA INTERNATIONAL,1990-10-22,Georgia,1990
INDIANAPOLIS INTERNATIONAL,1990-10-22,Indiana,1990
GREATER PITTSBURGH,1990-10-22,Pennsylvania,1990
DETROIT METRO WAYNE COUNTY AIRPORT,1990-10-22,Michigan,1990
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1990-10-22,Texas,1990
LOUISVILLE INTERNATIONAL AIRPORT,1990-10-23,Kentucky,1990
LAGUARDIA NY,1990-10-23,New York,1990
ORLANDO INTERNATIONAL,1990-10-23,Florida,1990
NEWARK LIBERTY INTERNATIONAL AIRPORT,1990-10-24,New Jersey,1990
HONOLULU INTERNATIONAL AIRPORT,1990-10-24,Hawaii,1990
LAMBERT-ST LOUIS INTERNATIONAL,1990-10-24,Missouri,1990
BALTIMORE WASH INTERNATIONAL,1990-10-24,Maryland,1990
BALTIMORE WASH INTERNATIONAL,1990-10-24,Maryland,1990
NEWARK LIBERTY INTERNATIONAL AIRPORT,1990-10-24,New Jersey,1990
NEWARK LIBERTY INTERNATIONAL AIRPORT,1990-10-24,New Jersey,1990
JOHN F KENNEDY INTERNATIONAL,1990-10-24,New York,1990
LAGUARDIA NY,1990-10-24,New York,1990
NEWARK LIBERTY INTERNATIONAL AIRPORT,1990-10-24,New Jersey,1990
NEWARK LIBERTY INTERNATIONAL AIRPORT,1990-10-24,New Jersey,1990
NEWARK LIBERTY INTERNATIONAL AIRPORT,1990-10-24,New Jersey,1990
MEMPHIS INTERNATIONAL,1990-10-24,Tennessee,1990
DALLAS/FORT WORTH INTERNATIONAL AIRPORT,1990-10-24,Texas,1990
