Airport Name,Flight Date,Origin State,Phase of flight,Time of day
ATLANTIC CITY INTL,15-10-90,New Jersey,Landing Roll,Night
ATLANTIC CITY INTL,15-10-90,New Jersey,Landing Roll,Night
PHILADELPHIA INTL,17-10-90,Pennsylvania,Approach,Night
ATLANTA INTL,18-10-90,Georgia,Climb,Night
BARKSDALE AIR FORCE BASE ARPT,18-10-90,Louisiana,Approach,Day
MINNEAPOLIS-ST PAUL INTL,18-10-90,Minnesota,Approach,Night
MINNEAPOLIS-ST PAUL INTL,18-10-90,Minnesota,Approach,Night
CHARLOTTE/DOUGLAS INTL ARPT,19-10-90,North Carolina,Climb,Night
LOS ANGELES INTL,19-10-90,California,Climb,Night
HONOLULU INTL ARPT,20-10-90,Hawaii,Approach,Night
DALLAS/FORT WORTH INTL ARPT,21-10-90,Texas,Approach,Night
CHICAGO O'HARE INTL ARPT,21-10-90,Illinois,Climb,Night
ATLANTA INTL,22-10-90,Georgia,Climb,Night
CHARLOTTE/DOUGLAS INTL ARPT,22-10-90,North Carolina,Approach,Dawn
ATLANTA INTL,22-10-90,Georgia,Approach,Day
INDIANAPOLIS INTL,22-10-90,Indiana,Approach,Night
GREATER PITTSBURGH,22-10-90,Pennsylvania,Approach,Night
DETROIT METRO WAYNE COUNTY ARPT,22-10-90,Michigan,Approach,Night
DALLAS/FORT WORTH INTL ARPT,22-10-90,Texas,Approach,Night
LOUISVILLE INTL ARPT,23-10-90,Kentucky,Descent,Night
LAGUARDIA NY,23-10-90,New York,Approach,Night
ORLANDO INTL,23-10-90,Florida,Approach,Day
NEWARK LIBERTY INTL ARPT,24-10-90,New Jersey,Approach,Night
HONOLULU INTL ARPT,24-10-90,Hawaii,Landing Roll,Day
LAMBERT-ST LOUIS INTL,24-10-90,Missouri,Approach,Night
BALTIMORE WASH INTL,24-10-90,Maryland,Approach,Night
BALTIMORE WASH INTL,24-10-90,Maryland,Approach,Night
NEWARK LIBERTY INTL ARPT,24-10-90,New Jersey,Approach,Night
NEWARK LIBERTY INTL ARPT,24-10-90,New Jersey,Approach,Night
JOHN F KENNEDY INTL,24-10-90,New York,Approach,Night
LAGUARDIA NY,24-10-90,New York,Approach,Night
NEWARK LIBERTY INTL ARPT,24-10-90,New Jersey,Climb,Night
NEWARK LIBERTY INTL ARPT,24-10-90,New Jersey,Take-off run,Night
NEWARK LIBERTY INTL ARPT,24-10-90,New Jersey,Approach,Night
MEMPHIS INTL,24-10-90,Tennessee,Approach,Night
DALLAS/FORT WORTH INTL ARPT,24-10-90,Texas,Approach,Night
RONALD REAGAN WASHINGTON NATL,25-10-90,DC,Approach,Day
RONALD REAGAN WASHINGTON NATL,25-10-90,DC,Approach,Day
HONOLULU INTL ARPT,25-10-90,Hawaii,Approach,Day
RONALD REAGAN WASHINGTON NATL,25-10-90,DC,Approach,Night
HOUSTON-HOBBY,25-10-90,Texas,Climb,Night
ATLANTIC CITY INTL,25-10-90,New Jersey,Descent,Night
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,25-10-90,Kentucky,Approach,Day
WASHINGTON DULLES INTL ARPT,26-10-90,DC,Approach,Night
PORTLAND INTL (OR),26-10-90,Oregon,Approach,Night
BARKSDALE AIR FORCE BASE ARPT,27-10-90,Louisiana,Approach,Day
EPPLEY AIRFIELD,27-10-90,Nebraska,Descent,Night
CHARLESTON AFB/INTL ARPT,28-10-90,South Carolina,Approach,Night
JOHN F KENNEDY INTL,29-10-90,New York,Descent,Night
LOGAN INTL,30-10-90,Massachusetts,Approach,Day
NEWARK LIBERTY INTL ARPT,31-10-90,New Jersey,Approach,Day
