Airport Name,Flight Date,Origin State,Phase of flight,Time of day
ATLANTA INTL,30-09-98,Georgia,Climb,Night
SACRAMENTO INTL,01-10-98,California,Take-off run,Day
ATLANTIC CITY INTL,01-10-98,New Jersey,Approach,Night
CHARLOTTE/DOUGLAS INTL ARPT,01-10-98,North Carolina,Climb,Day
RONALD REAGAN WASHINGTON NATL,01-10-98,DC,Approach,Night
CHICAGO O'HARE INTL ARPT,01-10-98,Illinois,Approach,Night
LOUISVILLE INTL ARPT,01-10-98,Kentucky,Approach,Night
MEMPHIS INTL,01-10-98,Tennessee,Approach,Night
ATLANTA INTL,01-10-98,Georgia,Climb,Night
ATLANTA INTL,02-10-98,Georgia,Approach,Night
SACRAMENTO INTL,02-10-98,California,Take-off run,Day
KANSAS CITY INTL,02-10-98,Missouri,Landing Roll,Day
RONALD REAGAN WASHINGTON NATL,02-10-98,DC,Approach,Night
LOUISVILLE INTL ARPT,02-10-98,Kentucky,Approach,Night
ATLANTA INTL,03-10-98,Georgia,Take-off run,Day
KANSAS CITY INTL,03-10-98,Missouri,Take-off run,Day
ATLANTA INTL,03-10-98,Georgia,Approach,Night
LIHUE ARPT,04-10-98,Hawaii,Take-off run,Day
LOGAN INTL,04-10-98,Massachusetts,Descent,Night
SAN ANTONIO INTL,04-10-98,Texas,Descent,Night
DENVER INTL AIRPORT,05-10-98,Colorado,Approach,Day
KANSAS CITY INTL,05-10-98,Missouri,Landing Roll,Day
KANSAS CITY INTL,05-10-98,Missouri,Landing Roll,Day
PHILADELPHIA INTL,06-10-98,Pennsylvania,Climb,Dusk
MEMPHIS INTL,06-10-98,Tennessee,Approach,Night
ATLANTA INTL,06-10-98,Georgia,Approach,Day
SEATTLE-TACOMA INTL,06-10-98,Washington,Approach,Day
KANSAS CITY INTL,06-10-98,Missouri,Landing Roll,Day
KANSAS CITY INTL,06-10-98,Missouri,Take-off run,Day
BARKSDALE AIR FORCE BASE ARPT,06-10-98,Louisiana,Approach,Night
NEWARK LIBERTY INTL ARPT,06-10-98,New Jersey,Descent,Night
CHARLOTTE/DOUGLAS INTL ARPT,07-10-98,North Carolina,Approach,Night
HONOLULU INTL ARPT,07-10-98,Hawaii,Climb,Day
MEMPHIS INTL,07-10-98,Tennessee,Descent,Night
SAN FRANCISCO INTL ARPT,07-10-98,California,Approach,Night
PORTLAND INTL (OR),07-10-98,Oregon,Landing Roll,Night
DALLAS/FORT WORTH INTL ARPT,07-10-98,Texas,Take-off run,Day
DALLAS/FORT WORTH INTL ARPT,07-10-98,Texas,Take-off run,Day
CHARLESTON AFB/INTL ARPT,08-10-98,South Carolina,Take-off run,Day
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,08-10-98,Kentucky,Climb,Night
CLEVELAND-HOPKINS INTL ARPT,08-10-98,Ohio,Descent,Night
NASHVILLE INTL,08-10-98,Tennessee,Take-off run,Night
ATLANTA INTL,08-10-98,Georgia,Take-off run,Day
EPPLEY AIRFIELD,08-10-98,Nebraska,Climb,Day
LOUISVILLE INTL ARPT,08-10-98,Kentucky,Approach,Night
PORTLAND INTL (OR),09-10-98,Oregon,Landing Roll,Day
METRO OAKLAND INTL,10-10-98,California,Take-off run,Day
WASHINGTON DULLES INTL ARPT,10-10-98,DC,Descent,Night
FORT LAUDERDALE/HOLLYWOOD INTL,10-10-98,Florida,Approach,Night
ATLANTA INTL,10-10-98,Georgia,Approach,Night
CHARLOTTE/DOUGLAS INTL ARPT,10-10-98,North Carolina,Approach,Night
METRO OAKLAND INTL,11-10-98,California,Approach,Night
GEORGE BUSH INTERCONTINENTAL,11-10-98,Texas,Climb,Night
MEMPHIS INTL,11-10-98,Tennessee,Approach,Day
LIHUE ARPT,11-10-98,Hawaii,Take-off run,Day
CHICAGO O'HARE INTL ARPT,11-10-98,Illinois,Take-off run,Day
RONALD REAGAN WASHINGTON NATL,11-10-98,DC,Approach,Night
METRO OAKLAND INTL,12-10-98,California,Approach,Day
DALLAS/FORT WORTH INTL ARPT,12-10-98,Texas,Landing Roll,Day
CLEVELAND-HOPKINS INTL ARPT,12-10-98,Ohio,Approach,Dawn
GREATER PITTSBURGH,12-10-98,Pennsylvania,Landing Roll,Day
CHICAGO O'HARE INTL ARPT,12-10-98,Illinois,Approach,Night
MINNEAPOLIS-ST PAUL INTL,12-10-98,Minnesota,Approach,Night
KANSAS CITY INTL,12-10-98,Missouri,Approach,Night
CHARLESTON AFB/INTL ARPT,13-10-98,South Carolina,Climb,Night
CHICAGO O'HARE INTL ARPT,13-10-98,Illinois,Descent,Night
MEMPHIS INTL,13-10-98,Tennessee,Take-off run,Day
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,13-10-98,Kentucky,Approach,Night
ATLANTA INTL,13-10-98,Georgia,Climb,Night
MEMPHIS INTL,13-10-98,Tennessee,Descent,Night
DENVER INTL AIRPORT,14-10-98,Colorado,Take-off run,Day
LIHUE ARPT,14-10-98,Hawaii,Take-off run,Day
KANSAS CITY INTL,14-10-98,Missouri,Approach,Night
JOHN F KENNEDY INTL,15-10-98,New York,Take-off run,Day
WASHINGTON DULLES INTL ARPT,15-10-98,DC,Approach,Night
SEATTLE-TACOMA INTL,15-10-98,Washington,Approach,Night
GREATER PITTSBURGH,15-10-98,Pennsylvania,Landing Roll,Day
DENVER INTL AIRPORT,15-10-98,Colorado,Approach,Day
HONOLULU INTL ARPT,15-10-98,Hawaii,Climb,Day
LIHUE ARPT,15-10-98,Hawaii,Landing Roll,Day
PHILADELPHIA INTL,15-10-98,Pennsylvania,Approach,Night
JOHN F KENNEDY INTL,16-10-98,New York,Approach,Night
HONOLULU INTL ARPT,16-10-98,Hawaii,Climb,Day
NEWARK LIBERTY INTL ARPT,16-10-98,New Jersey,Climb,Night
AUSTIN-BERGSTROM INTL,16-10-98,Texas,Climb,Night
SACRAMENTO INTL,17-10-98,California,Take-off run,Day
LAMBERT-ST LOUIS INTL,17-10-98,Missouri,Approach,Day
CLEVELAND-HOPKINS INTL ARPT,17-10-98,Ohio,Approach,Dusk
HONOLULU INTL ARPT,17-10-98,Hawaii,Approach,Night
ATLANTA INTL,17-10-98,Georgia,Climb,Night
SACRAMENTO INTL,18-10-98,California,Climb,Day
LAMBERT-ST LOUIS INTL,18-10-98,Missouri,Approach,Night
DALLAS/FORT WORTH INTL ARPT,18-10-98,Texas,Climb,Day
DALLAS/FORT WORTH INTL ARPT,18-10-98,Texas,Climb,Night
DALLAS/FORT WORTH INTL ARPT,19-10-98,Texas,Climb,Day
WASHINGTON DULLES INTL ARPT,19-10-98,DC,Descent,Night
DALLAS/FORT WORTH INTL ARPT,19-10-98,Texas,Climb,Dawn
LOUISVILLE INTL ARPT,20-10-98,Kentucky,Climb,Night
HONOLULU INTL ARPT,20-10-98,Hawaii,Approach,Dawn
MEMPHIS INTL,20-10-98,Tennessee,Approach,Night
CHARLESTON AFB/INTL ARPT,20-10-98,South Carolina,Take-off run,Night
MEMPHIS INTL,20-10-98,Tennessee,Approach,Night
NEW ORLEANS INTL,21-10-98,Louisiana,Landing Roll,Night
LOGAN INTL,21-10-98,Massachusetts,Climb,Night
BARKSDALE AIR FORCE BASE ARPT,21-10-98,Louisiana,Approach,Night
CHARLESTON AFB/INTL ARPT,22-10-98,South Carolina,Approach,Night
GEORGE BUSH INTERCONTINENTAL,22-10-98,Texas,Approach,Night
JOHN F KENNEDY INTL,22-10-98,New York,Approach,Night
LOUISVILLE INTL ARPT,23-10-98,Kentucky,Approach,Night
PHOENIX SKY HARBOR,23-10-98,Arizona,Approach,Day
NEW ORLEANS INTL,23-10-98,Louisiana,Approach,Day
DALLAS/FORT WORTH INTL ARPT,24-10-98,Texas,Approach,Day
DENVER INTL AIRPORT,24-10-98,Colorado,Approach,Day
SACRAMENTO INTL,24-10-98,California,Landing Roll,Day
LIHUE ARPT,24-10-98,Hawaii,Take-off run,Day
SALT LAKE CITY INTL,25-10-98,Utah,Approach,Day
HONOLULU INTL ARPT,25-10-98,Hawaii,Climb,Day
MINETA SAN JOSE INTL,25-10-98,California,Take-off run,Day
PHILADELPHIA INTL,25-10-98,Pennsylvania,Approach,Dusk
LAGUARDIA NY,25-10-98,New York,Approach,Night
PHILADELPHIA INTL,25-10-98,Pennsylvania,Approach,Night
JOHN F KENNEDY INTL,25-10-98,New York,Approach,Night
CHARLOTTE/DOUGLAS INTL ARPT,26-10-98,North Carolina,Approach,Night
DALLAS/FORT WORTH INTL ARPT,26-10-98,Texas,Climb,Day
NEW ORLEANS INTL,26-10-98,Louisiana,Approach,Day
WASHINGTON DULLES INTL ARPT,26-10-98,DC,Approach,Night
LAGUARDIA NY,26-10-98,New York,Approach,Night
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,27-10-98,Kentucky,Landing Roll,Day
MEMPHIS INTL,27-10-98,Tennessee,Approach,Day
LAMBERT-ST LOUIS INTL,28-10-98,Missouri,Approach,Day
PORTLAND INTL (OR),29-10-98,Oregon,Landing Roll,Day
KANSAS CITY INTL,29-10-98,Missouri,Descent,Night
DALLAS/FORT WORTH INTL ARPT,29-10-98,Texas,Take-off run,Day
BALTIMORE WASH INTL,29-10-98,Maryland,Approach,Night
LAMBERT-ST LOUIS INTL,30-10-98,Missouri,Approach,Night
SACRAMENTO INTL,30-10-98,California,Climb,Day
ATLANTA INTL,30-10-98,Georgia,Approach,Night
PHILADELPHIA INTL,30-10-98,Pennsylvania,Descent,Night
MEMPHIS INTL,30-10-98,Tennessee,Descent,Night
PORTLAND INTL (OR),31-10-98,Oregon,Take-off run,Day
WILL ROGERS WORLD ARPT,01-11-98,Oklahoma,Climb,Day
CHARLOTTE/DOUGLAS INTL ARPT,01-11-98,North Carolina,Climb,Night
HOUSTON-HOBBY,01-11-98,Texas,Climb,Night
CLEVELAND-HOPKINS INTL ARPT,02-11-98,Ohio,Landing Roll,Day
HOUSTON-HOBBY,02-11-98,Texas,Landing Roll,Dawn
NEW ORLEANS INTL,02-11-98,Louisiana,Approach,Night
DALLAS/FORT WORTH INTL ARPT,02-11-98,Texas,Climb,Night
NASHVILLE INTL,02-11-98,Tennessee,Climb,Day
DALLAS/FORT WORTH INTL ARPT,02-11-98,Texas,Approach,Night
CLEVELAND-HOPKINS INTL ARPT,03-11-98,Ohio,Approach,Dawn
ATLANTA INTL,03-11-98,Georgia,Take-off run,Day
BALTIMORE WASH INTL,03-11-98,Maryland,Approach,Night
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,04-11-98,Kentucky,Approach,Night
BALTIMORE WASH INTL,04-11-98,Maryland,Descent,Night
ATLANTIC CITY INTL,04-11-98,New Jersey,Climb,Day
CHARLESTON AFB/INTL ARPT,04-11-98,South Carolina,Approach,Night
CHARLESTON AFB/INTL ARPT,04-11-98,South Carolina,Approach,Night
PHILADELPHIA INTL,04-11-98,Pennsylvania,Approach,Night
PHOENIX SKY HARBOR,04-11-98,Arizona,Climb,Night
GREATER PITTSBURGH,05-11-98,Pennsylvania,Approach,Day
CHARLOTTE/DOUGLAS INTL ARPT,06-11-98,North Carolina,Approach,Night
MEMPHIS INTL,06-11-98,Tennessee,Climb,Night
MINETA SAN JOSE INTL,07-11-98,California,Take-off run,Day
ORLANDO INTL,07-11-98,Florida,Landing Roll,Day
MINETA SAN JOSE INTL,07-11-98,California,Take-off run,Day
LOGAN INTL,08-11-98,Massachusetts,Approach,Night
BALTIMORE WASH INTL,09-11-98,Maryland,Landing Roll,Night
WASHINGTON DULLES INTL ARPT,09-11-98,DC,Approach,Night
LAGUARDIA NY,09-11-98,New York,Climb,Night
LOS ANGELES INTL,09-11-98,California,Climb,Day
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,10-11-98,Kentucky,Climb,Night
CHICAGO O'HARE INTL ARPT,10-11-98,Illinois,Approach,Day
NEWARK LIBERTY INTL ARPT,10-11-98,New Jersey,Take-off run,Night
JOHN F KENNEDY INTL,10-11-98,New York,Take-off run,Dusk
NASHVILLE INTL,10-11-98,Tennessee,Take-off run,Dusk
HOUSTON-HOBBY,10-11-98,Texas,Approach,Night
CLEVELAND-HOPKINS INTL ARPT,11-11-98,Ohio,Approach,Night
LAMBERT-ST LOUIS INTL,12-11-98,Missouri,Climb,Day
GREATER PITTSBURGH,12-11-98,Pennsylvania,Landing Roll,Day
WILL ROGERS WORLD ARPT,14-11-98,Oklahoma,Approach,Night
LIHUE ARPT,14-11-98,Hawaii,Take-off run,Day
ORLANDO INTL,15-11-98,Florida,Approach,Night
DALLAS/FORT WORTH INTL ARPT,16-11-98,Texas,Landing Roll,Day
CHICAGO MIDWAY INTL ARPT,16-11-98,Illinois,Climb,Day
FORT LAUDERDALE/HOLLYWOOD INTL,18-11-98,Florida,Approach,Night
JOHN F KENNEDY INTL,19-11-98,New York,Approach,Day
BARKSDALE AIR FORCE BASE ARPT,20-11-98,Louisiana,Approach,Day
CHARLESTON AFB/INTL ARPT,20-11-98,South Carolina,Approach,Day
AUSTIN-BERGSTROM INTL,20-11-98,Texas,Approach,Day
CLEVELAND-HOPKINS INTL ARPT,21-11-98,Ohio,Climb,Night
SAN FRANCISCO INTL ARPT,21-11-98,California,Approach,Day
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,21-11-98,Kentucky,Approach,Day
SACRAMENTO INTL,23-11-98,California,Approach,Day
JOHN F KENNEDY INTL,25-11-98,New York,Approach,Night
HOUSTON-HOBBY,25-11-98,Texas,Approach,Night
SAN ANTONIO INTL,25-11-98,Texas,Climb,Night
LIHUE ARPT,27-11-98,Hawaii,Landing Roll,Day
SACRAMENTO INTL,30-11-98,California,Approach,Night
SACRAMENTO INTL,01-12-98,California,Approach,Night
NEW ORLEANS INTL,01-12-98,Louisiana,Climb,Day
SACRAMENTO INTL,03-12-98,California,Approach,Day
CHARLESTON AFB/INTL ARPT,04-12-98,South Carolina,Approach,Day
CHARLESTON AFB/INTL ARPT,04-12-98,South Carolina,Approach,Day
CHARLESTON AFB/INTL ARPT,04-12-98,South Carolina,Approach,Day
CHARLESTON AFB/INTL ARPT,04-12-98,South Carolina,Approach,Day
CHARLESTON AFB/INTL ARPT,04-12-98,South Carolina,Approach,Day
DENVER INTL AIRPORT,04-12-98,Colorado,Landing Roll,Day
SAN FRANCISCO INTL ARPT,04-12-98,California,Approach,Night
SAN ANTONIO INTL,04-12-98,Texas,Approach,Dusk
PHILADELPHIA INTL,06-12-98,Pennsylvania,Approach,Day
SACRAMENTO INTL,06-12-98,California,Approach,Night
HONOLULU INTL ARPT,08-12-98,Hawaii,Approach,Day
SALT LAKE CITY INTL,08-12-98,Utah,Take-off run,Day
HONOLULU INTL ARPT,08-12-98,Hawaii,Approach,Dusk
WASHINGTON DULLES INTL ARPT,09-12-98,DC,Approach,Day
LOGAN INTL,10-12-98,Massachusetts,Approach,Day
LIHUE ARPT,10-12-98,Hawaii,Climb,Day
SAN ANTONIO INTL,11-12-98,Texas,Landing Roll,Night
ORLANDO INTL,15-12-98,Florida,Approach,Day
WILL ROGERS WORLD ARPT,15-12-98,Oklahoma,Landing Roll,Day
SACRAMENTO INTL,15-12-98,California,Climb,Night
LIHUE ARPT,15-12-98,Hawaii,Take-off run,Day
PHOENIX SKY HARBOR,17-12-98,Arizona,Climb,Day
SACRAMENTO INTL,18-12-98,California,Climb,Dusk
PHOENIX SKY HARBOR,19-12-98,Arizona,Approach,Day
DALLAS/FORT WORTH INTL ARPT,19-12-98,Texas,Take-off run,Day
PHILADELPHIA INTL,21-12-98,Pennsylvania,Climb,Day
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,22-12-98,Kentucky,Approach,Night
RONALD REAGAN WASHINGTON NATL,22-12-98,DC,Approach,Night
NASHVILLE INTL,22-12-98,Tennessee,Approach,Night
GREATER PITTSBURGH,24-12-98,Pennsylvania,Climb,Day
LAGUARDIA NY,24-12-98,New York,Approach,Night
ORLANDO INTL,25-12-98,Florida,Approach,Dawn
DALLAS/FORT WORTH INTL ARPT,26-12-98,Texas,Take-off run,Day
SACRAMENTO INTL,27-12-98,California,Approach,Night
DALLAS/FORT WORTH INTL ARPT,27-12-98,Texas,Climb,Night
PORTLAND INTL (OR),29-12-98,Oregon,Landing Roll,Night
CHICAGO O'HARE INTL ARPT,31-12-98,Illinois,Climb,Night
DALLAS/FORT WORTH INTL ARPT,02-01-99,Texas,Landing Roll,Night
JOHN F KENNEDY INTL,02-01-99,New York,Landing Roll,Day
HONOLULU INTL ARPT,02-01-99,Hawaii,Take-off run,Day
DENVER INTL AIRPORT,02-01-99,Colorado,Approach,Night
NEW ORLEANS INTL,04-01-99,Louisiana,Approach,Day
DENVER INTL AIRPORT,04-01-99,Colorado,Take-off run,Dusk
SACRAMENTO INTL,05-01-99,California,Approach,Night
SACRAMENTO INTL,06-01-99,California,Climb,Day
SACRAMENTO INTL,06-01-99,California,Climb,Day
DENVER INTL AIRPORT,06-01-99,Colorado,Climb,Day
SACRAMENTO INTL,07-01-99,California,Approach,Day
HONOLULU INTL ARPT,07-01-99,Hawaii,Take-off run,Day
DENVER INTL AIRPORT,08-01-99,Colorado,Landing Roll,Day
NEW ORLEANS INTL,11-01-99,Louisiana,Take-off run,Dawn
SACRAMENTO INTL,11-01-99,California,Approach,Day
RONALD REAGAN WASHINGTON NATL,11-01-99,DC,Approach,Night
BARKSDALE AIR FORCE BASE ARPT,12-01-99,Louisiana,Climb,Dusk
BARKSDALE AIR FORCE BASE ARPT,12-01-99,Louisiana,Climb,Dusk
ATLANTIC CITY INTL,12-01-99,New Jersey,Landing Roll,Night
NEW ORLEANS INTL,13-01-99,Louisiana,Approach,Day
NEW ORLEANS INTL,13-01-99,Louisiana,Landing Roll,Night
INDIANAPOLIS INTL,14-01-99,Indiana,Landing Roll,Day
DALLAS/FORT WORTH INTL ARPT,15-01-99,Texas,Landing Roll,Day
SAN FRANCISCO INTL ARPT,16-01-99,California,Landing Roll,Day
ATLANTA INTL,16-01-99,Georgia,Landing Roll,Dawn
SAN FRANCISCO INTL ARPT,16-01-99,California,Approach,Night
ORLANDO INTL,18-01-99,Florida,Approach,Day
BALTIMORE WASH INTL,19-01-99,Maryland,Landing Roll,Day
DALLAS/FORT WORTH INTL ARPT,19-01-99,Texas,Landing Roll,Day
HOUSTON-HOBBY,20-01-99,Texas,Approach,Day
HOUSTON-HOBBY,20-01-99,Texas,Landing Roll,Day
WASHINGTON DULLES INTL ARPT,21-01-99,DC,Approach,Day
PORTLAND INTL (OR),23-01-99,Oregon,Landing Roll,Night
JOHN F KENNEDY INTL,23-01-99,New York,Approach,Day
DALLAS/FORT WORTH INTL ARPT,23-01-99,Texas,Climb,Night
ORLANDO INTL,24-01-99,Florida,Take-off run,Day
TETERBORO AIRPORT,25-01-99,New Jersey,Approach,Night
WASHINGTON DULLES INTL ARPT,28-01-99,DC,Approach,Night
JOHN F KENNEDY INTL,30-01-99,New York,Take-off run,Day
SAN FRANCISCO INTL ARPT,01-02-99,California,Approach,Night
JOHN F KENNEDY INTL,01-02-99,New York,Landing Roll,Day
HOUSTON-HOBBY,01-02-99,Texas,Take-off run,Day
ATLANTA INTL,03-02-99,Georgia,Climb,Night
PORTLAND INTL (OR),03-02-99,Oregon,Landing Roll,Night
TETERBORO AIRPORT,04-02-99,New Jersey,Approach,Dusk
KANSAS CITY INTL,05-02-99,Missouri,Approach,Dawn
HONOLULU INTL ARPT,06-02-99,Hawaii,Landing Roll,Night
ATLANTA INTL,07-02-99,Georgia,Approach,Day
SAN ANTONIO INTL,10-02-99,Texas,Approach,Day
DENVER INTL AIRPORT,10-02-99,Colorado,Take-off run,Day
FORT LAUDERDALE/HOLLYWOOD INTL,11-02-99,Florida,Approach,Night
INDIANAPOLIS INTL,11-02-99,Indiana,Climb,Night
SACRAMENTO INTL,13-02-99,California,Climb,Day
DENVER INTL AIRPORT,13-02-99,Colorado,Take-off run,Day
SACRAMENTO INTL,14-02-99,California,Approach,Day
SAN ANTONIO INTL,14-02-99,Texas,Approach,Night
BALTIMORE WASH INTL,15-02-99,Maryland,Landing Roll,Night
SEATTLE-TACOMA INTL,15-02-99,Washington,Approach,Dawn
PHILADELPHIA INTL,16-02-99,Pennsylvania,Descent,Day
WASHINGTON DULLES INTL ARPT,16-02-99,DC,Approach,Day
GEORGE BUSH INTERCONTINENTAL,16-02-99,Texas,Landing Roll,Day
GEORGE BUSH INTERCONTINENTAL,16-02-99,Texas,Take-off run,Day
ORLANDO INTL,17-02-99,Florida,Take-off run,Day
RONALD REAGAN WASHINGTON NATL,17-02-99,DC,Landing Roll,Day
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,17-02-99,Kentucky,Landing Roll,Day
SACRAMENTO INTL,18-02-99,California,Approach,Night
LIHUE ARPT,18-02-99,Hawaii,Landing Roll,Day
LIHUE ARPT,18-02-99,Hawaii,Take-off run,Day
LIHUE ARPT,19-02-99,Hawaii,Take-off run,Day
SAN FRANCISCO INTL ARPT,19-02-99,California,Landing Roll,Night
PORTLAND INTL (OR),20-02-99,Oregon,Climb,Night
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,22-02-99,Kentucky,Climb,Day
ORLANDO INTL,22-02-99,Florida,Approach,Day
PORTLAND INTL (OR),22-02-99,Oregon,Approach,Night
LIHUE ARPT,23-02-99,Hawaii,Climb,Day
FORT LAUDERDALE/HOLLYWOOD INTL,24-02-99,Florida,Climb,Day
METRO OAKLAND INTL,24-02-99,California,Descent,Night
PORTLAND INTL (OR),24-02-99,Oregon,Approach,Night
LIHUE ARPT,26-02-99,Hawaii,Take-off run,Day
CHARLESTON AFB/INTL ARPT,26-02-99,South Carolina,Approach,Night
CHARLESTON AFB/INTL ARPT,26-02-99,South Carolina,Approach,Night
NASHVILLE INTL,26-02-99,Tennessee,Approach,Night
HOUSTON-HOBBY,26-02-99,Texas,Approach,Night
LIHUE ARPT,27-02-99,Hawaii,Landing Roll,Day
PORTLAND INTL (OR),28-02-99,Oregon,Landing Roll,Dusk
WASHINGTON DULLES INTL ARPT,01-03-99,DC,Climb,Day
KANSAS CITY INTL,02-03-99,Missouri,Approach,Night
HONOLULU INTL ARPT,02-03-99,Hawaii,Landing Roll,Dawn
CHICAGO O'HARE INTL ARPT,04-03-99,Illinois,Take-off run,Night
NEW ORLEANS INTL,05-03-99,Louisiana,Climb,Day
SACRAMENTO INTL,05-03-99,California,Approach,Day
PHOENIX SKY HARBOR,05-03-99,Arizona,Climb,Day
LIHUE ARPT,05-03-99,Hawaii,Take-off run,Day
SALT LAKE CITY INTL,07-03-99,Utah,Climb,Day
WILL ROGERS WORLD ARPT,07-03-99,Oklahoma,Approach,Day
ORLANDO INTL,08-03-99,Florida,Climb,Dusk
MINETA SAN JOSE INTL,09-03-99,California,Landing Roll,Day
LIHUE ARPT,09-03-99,Hawaii,Climb,Dawn
DALLAS/FORT WORTH INTL ARPT,09-03-99,Texas,Approach,Night
LIHUE ARPT,11-03-99,Hawaii,Landing Roll,Dawn
LIHUE ARPT,11-03-99,Hawaii,Approach,Day
PORTLAND INTL (OR),12-03-99,Oregon,Take-off run,Day
LIHUE ARPT,12-03-99,Hawaii,Landing Roll,Day
ORLANDO INTL,14-03-99,Florida,Approach,Day
CLEVELAND-HOPKINS INTL ARPT,14-03-99,Ohio,Approach,Day
JOHN F KENNEDY INTL,14-03-99,New York,Take-off run,Day
WASHINGTON DULLES INTL ARPT,14-03-99,DC,Climb,Day
GREATER PITTSBURGH,15-03-99,Pennsylvania,Approach,Night
DETROIT METRO WAYNE COUNTY ARPT,15-03-99,Michigan,Take-off run,Day
HOUSTON-HOBBY,15-03-99,Texas,Approach,Night
RONALD REAGAN WASHINGTON NATL,16-03-99,DC,Approach,Night
JOHN F KENNEDY INTL,17-03-99,New York,Landing Roll,Day
PORTLAND INTL (OR),17-03-99,Oregon,Climb,Night
PORT COLUMBUS INTL,17-03-99,Ohio,Climb,Day
LOS ANGELES INTL,17-03-99,California,Landing Roll,Dusk
PHILADELPHIA INTL,17-03-99,Pennsylvania,Approach,Night
EPPLEY AIRFIELD,18-03-99,Nebraska,Approach,Day
PHOENIX SKY HARBOR,18-03-99,Arizona,Approach,Night
DALLAS/FORT WORTH INTL ARPT,18-03-99,Texas,Approach,Night
PORTLAND INTL (OR),19-03-99,Oregon,Descent,Night
HONOLULU INTL ARPT,19-03-99,Hawaii,Climb,Day
MINETA SAN JOSE INTL,19-03-99,California,Take-off run,Day
PORTLAND INTL (OR),22-03-99,Oregon,Landing Roll,Dusk
LOS ANGELES INTL,22-03-99,California,Approach,Night
AUSTIN-BERGSTROM INTL,24-03-99,Texas,Approach,Day
LOUISVILLE INTL ARPT,24-03-99,Kentucky,Approach,Night
CHICAGO O'HARE INTL ARPT,24-03-99,Illinois,Approach,Day
SEATTLE-TACOMA INTL,24-03-99,Washington,Climb,Day
LOS ANGELES INTL,25-03-99,California,Approach,Day
CLEVELAND-HOPKINS INTL ARPT,25-03-99,Ohio,Approach,Night
NEWARK LIBERTY INTL ARPT,26-03-99,New Jersey,Approach,Night
RONALD REAGAN WASHINGTON NATL,26-03-99,DC,Approach,Day
SACRAMENTO INTL,26-03-99,California,Take-off run,Day
ATLANTA INTL,26-03-99,Georgia,Take-off run,Day
DALLAS/FORT WORTH INTL ARPT,26-03-99,Texas,Climb,Night
RONALD REAGAN WASHINGTON NATL,28-03-99,DC,Landing Roll,Day
PHILADELPHIA INTL,29-03-99,Pennsylvania,Approach,Night
NEW ORLEANS INTL,29-03-99,Louisiana,Approach,Night
MEMPHIS INTL,30-03-99,Tennessee,Take-off run,Night
CHICAGO O'HARE INTL ARPT,31-03-99,Illinois,Approach,Night
DALLAS/FORT WORTH INTL ARPT,31-03-99,Texas,Approach,Night
LOUISVILLE INTL ARPT,31-03-99,Kentucky,Descent,Night
LOS ANGELES INTL,31-03-99,California,Landing Roll,Day
ORLANDO INTL,01-04-99,Florida,Climb,Day
DALLAS/FORT WORTH INTL ARPT,01-04-99,Texas,Climb,Day
FORT LAUDERDALE/HOLLYWOOD INTL,02-04-99,Florida,Descent,Night
ATLANTIC CITY INTL,02-04-99,New Jersey,Approach,Day
SALT LAKE CITY INTL,03-04-99,Utah,Approach,Day
CHICAGO O'HARE INTL ARPT,05-04-99,Illinois,Take-off run,Day
CHARLESTON AFB/INTL ARPT,05-04-99,South Carolina,Climb,Day
CHARLESTON AFB/INTL ARPT,07-04-99,South Carolina,Approach,Night
LIHUE ARPT,07-04-99,Hawaii,Take-off run,Day
FORT LAUDERDALE/HOLLYWOOD INTL,08-04-99,Florida,Approach,Day
NEW ORLEANS INTL,08-04-99,Louisiana,Climb,Night
NASHVILLE INTL,08-04-99,Tennessee,Descent,Night
ATLANTA INTL,08-04-99,Georgia,Climb,Night
CHICAGO O'HARE INTL ARPT,10-04-99,Illinois,Approach,Night
CHARLESTON AFB/INTL ARPT,10-04-99,South Carolina,Approach,Night
NEW ORLEANS INTL,11-04-99,Louisiana,Climb,Day
NASHVILLE INTL,12-04-99,Tennessee,Approach,Day
NEWARK LIBERTY INTL ARPT,12-04-99,New Jersey,Take-off run,Day
LAMBERT-ST LOUIS INTL,13-04-99,Missouri,Approach,Night
LIHUE ARPT,13-04-99,Hawaii,Landing Roll,Day
LIHUE ARPT,13-04-99,Hawaii,Landing Roll,Day
DALLAS/FORT WORTH INTL ARPT,13-04-99,Texas,Approach,Night
TETERBORO AIRPORT,15-04-99,New Jersey,Climb,Day
SAN FRANCISCO INTL ARPT,15-04-99,California,Landing Roll,Day
SACRAMENTO INTL,15-04-99,California,Approach,Night
INDIANAPOLIS INTL,16-04-99,Indiana,Climb,Day
MINETA SAN JOSE INTL,16-04-99,California,Descent,Night
CLEVELAND-HOPKINS INTL ARPT,18-04-99,Ohio,Approach,Day
METRO OAKLAND INTL,19-04-99,California,Landing Roll,Day
